n,payload_bytes,sign_median_ms,sign_p95_ms,verify_median_ms,verify_p95_ms,record_bytes_mean,verify_per_second,merkle_ms_total,merkle_root
1500,128,0.045868,0.053939,0.1197835,0.127509,388.52,8273.39940319337,7.905662,c461b2ca8873f1555dc163d007c7f46b2b4067379814c1f57c08beededd3e73d
1500,256,0.046351,0.053621,0.1201395,0.127583,516.52,8254.045476896159,8.326545,b155717ecff889848c7180b331186d131b9a05d3766f8c79a73a1e9184962c58
1500,512,0.047655,0.055716,0.12093,0.128787,772.52,8192.091034185629,9.247241,0412dd864ae1f56e22b8f5e42fc0dc22e82c7a516055988a773dd0237b3867b8
1500,1024,0.0503535,0.058469,0.1228945,0.13013,1284.52,8088.666364524421,11.378865,e11a105aa8093d0ba214fbc0cbb4982bdfbc0ab3dc3201d5942eaa612d265b78
