architecture,family,sid,budget,clean_observability,capacity,attack_channels,attack_abstention
base,ignored_warning,cap-base-ignored_warning-3,1,0.9999999999117193,0.0,action,1
base,ignored_warning,cap-base-ignored_warning-3,2,0.9999999999117193,0.0,action|authorization,1
base,ignored_warning,cap-base-ignored_warning-4,0,0.9999999999117193,0.9999999999117193,,0
base,ignored_warning,cap-base-ignored_warning-4,1,0.9999999999117193,0.0,action,1
base,ignored_warning,cap-base-ignored_warning-4,2,0.9999999999117193,0.0,action|authorization,1
base,ignored_warning,cap-base-ignored_warning-5,0,0.9999999999117193,0.9999999999117193,,0
base,ignored_warning,cap-base-ignored_warning-5,1,0.9999999999117193,0.0,action,1
base,ignored_warning,cap-base-ignored_warning-5,2,0.9999999999117193,0.0,action|authorization,1
base,ignored_warning,cap-base-ignored_warning-6,0,0.9999999999117193,0.9999999999117193,,0
base,ignored_warning,cap-base-ignored_warning-6,1,0.9999999999117193,0.0,action,1
base,ignored_warning,cap-base-ignored_warning-6,2,0.9999999999117193,0.0,action|authorization,1
base,ignored_warning,cap-base-ignored_warning-7,0,0.9999999999117193,0.9999999999117193,,0
base,ignored_warning,cap-base-ignored_warning-7,1,0.9999999999117193,0.0,action,1
base,ignored_warning,cap-base-ignored_warning-7,2,0.9999999999117193,0.0,action|authorization,1
base,prompt_manipulation,cap-base-prompt_manipulation-0,0,0.9999999999117194,0.9999999999117194,,0
base,prompt_manipulation,cap-base-prompt_manipulation-0,1,0.9999999999117194,0.0,action,1
base,prompt_manipulation,cap-base-prompt_manipulation-0,2,0.9999999999117194,0.0,action|authorization,1
base,prompt_manipulation,cap-base-prompt_manipulation-1,0,0.9999999999117194,0.9999999999117194,,0
base,prompt_manipulation,cap-base-prompt_manipulation-1,1,0.9999999999117194,0.0,action,1
base,prompt_manipulation,cap-base-prompt_manipulation-1,2,0.9999999999117194,0.0,action|authorization,1
base,prompt_manipulation,cap-base-prompt_manipulation-2,0,0.9999999999117194,0.9999999999117194,,0
base,prompt_manipulation,cap-base-prompt_manipulation-2,1,0.9999999999117194,0.0,action,1
base,prompt_manipulation,cap-base-prompt_manipulation-2,2,0.9999999999117194,0.0,action|authorization,1
base,prompt_manipulation,cap-base-prompt_manipulation-3,0,0.9999999999117194,0.9999999999117194,,0
base,prompt_manipulation,cap-base-prompt_manipulation-3,1,0.9999999999117194,0.0,action,1
base,prompt_manipulation,cap-base-prompt_manipulation-3,2,0.9999999999117194,0.0,action|authorization,1
base,prompt_manipulation,cap-base-prompt_manipulation-4,0,0.9999999999117194,0.9999999999117194,,0
base,prompt_manipulation,cap-base-prompt_manipulation-4,1,0.9999999999117194,0.0,action,1
base,prompt_manipulation,cap-base-prompt_manipulation-4,2,0.9999999999117194,0.0,action|authorization,1
base,prompt_manipulation,cap-base-prompt_manipulation-5,0,0.9999999999117194,0.9999999999117194,,0
base,prompt_manipulation,cap-base-prompt_manipulation-5,1,0.9999999999117194,0.0,action,1
base,prompt_manipulation,cap-base-prompt_manipulation-5,2,0.9999999999117194,0.0,action|authorization,1
base,prompt_manipulation,cap-base-prompt_manipulation-6,0,0.9999999999117194,0.9999999999117194,,0
base,prompt_manipulation,cap-base-prompt_manipulation-6,1,0.9999999999117194,0.0,action,1
base,prompt_manipulation,cap-base-prompt_manipulation-6,2,0.9999999999117194,0.0,action|authorization,1
base,prompt_manipulation,cap-base-prompt_manipulation-7,0,0.9999999999117194,0.9999999999117194,,0
base,prompt_manipulation,cap-base-prompt_manipulation-7,1,0.9999999999117194,0.0,action,1
base,prompt_manipulation,cap-base-prompt_manipulation-7,2,0.9999999999117194,0.0,action|authorization,1
base,model_defect,cap-base-model_defect-0,0,0.9999999999117192,0.9999999999117192,,0
base,model_defect,cap-base-model_defect-0,1,0.9999999999117192,0.0,action,1
base,model_defect,cap-base-model_defect-0,2,0.9999999999117192,0.0,action|authorization,1
base,model_defect,cap-base-model_defect-1,0,0.9999999999117192,0.9999999999117192,,0
base,model_defect,cap-base-model_defect-1,1,0.9999999999117192,0.0,action,1
base,model_defect,cap-base-model_defect-1,2,0.9999999999117192,0.0,action|authorization,1
base,model_defect,cap-base-model_defect-2,0,0.9999999999117192,0.9999999999117192,,0
base,model_defect,cap-base-model_defect-2,1,0.9999999999117192,0.0,action,1
base,model_defect,cap-base-model_defect-2,2,0.9999999999117192,0.0,action|authorization,1
base,model_defect,cap-base-model_defect-3,0,0.9999999999117192,0.9999999999117192,,0
base,model_defect,cap-base-model_defect-3,1,0.9999999999117192,0.0,action,1
base,model_defect,cap-base-model_defect-3,2,0.9999999999117192,0.0,action|authorization,1
base,model_defect,cap-base-model_defect-4,0,0.9999999999117192,0.9999999999117192,,0
base,model_defect,cap-base-model_defect-4,1,0.9999999999117192,0.0,action,1
base,model_defect,cap-base-model_defect-4,2,0.9999999999117192,0.0,action|authorization,1
base,model_defect,cap-base-model_defect-5,0,0.9999999999117192,0.9999999999117192,,0
base,model_defect,cap-base-model_defect-5,1,0.9999999999117192,0.0,action,1
base,model_defect,cap-base-model_defect-5,2,0.9999999999117192,0.0,action|authorization,1
base,model_defect,cap-base-model_defect-6,0,0.9999999999117192,0.9999999999117192,,0
