n,payload_bytes,sign_median_ms,sign_p95_ms,verify_median_ms,verify_p95_ms,record_bytes_mean,verify_per_second,merkle_ms_total,merkle_root
1500,128,0.040471,0.105198,0.111873,0.255775,388.52,5953.52835322036,7.27495,6af9f21bc99667c7114b8c675e4564da93b20e7c68160d024775e8ea63d3176e
1500,256,0.040471,0.055193,0.1115225,0.147772,516.52,6787.48989953628,8.189264,1be6bdf98da2d8b25b7bd9b7da30944920670ca8dd91699d959cd49d421b0fb2
1500,512,0.041873,0.074051,0.112689,0.18589,772.52,6595.055096277384,8.282554,4189d81c05f0bda117ca177c4946a018c7cbad829e149520171c08a6af1319aa
1500,1024,0.043736,0.071668,0.1138415,0.184457,1284.52,6610.636119522399,10.175899,85f85676a8036bfe44c56cbaf1baa8d3541612532182017389503310d2d0e9db
