architecture,family,sid,budget,clean_effective_observability,adaptive_capacity,attack_channels,abstention,confidence
base,unauthorized_delegation,adapt-base-unauthorized_delegation-11,1,0.9999999999117193,0.0,permission,1,0.9999989249434559
base,unauthorized_delegation,adapt-base-unauthorized_delegation-11,2,0.9999999999117193,0.0,action|permission,1,0.850301287243185
base,unauthorized_delegation,adapt-base-unauthorized_delegation-11,3,0.9999999999117193,0.0,action|identity|permission,1,0.779693324746588
base,credential_misuse,adapt-base-credential_misuse-0,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-0,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-0,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-0,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-1,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-1,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-1,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-1,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-2,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-2,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-2,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-2,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-3,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-3,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-3,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-3,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-4,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-4,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-4,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-4,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-5,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-5,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-5,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-5,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-6,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-6,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-6,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-6,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-7,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-7,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-7,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-7,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-8,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-8,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-8,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-8,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-9,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-9,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-9,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-9,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-10,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-10,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-10,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-10,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,credential_misuse,adapt-base-credential_misuse-11,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,credential_misuse,adapt-base-credential_misuse-11,1,0.9999999999117193,0.0,identity,1,0.9999999999095133
base,credential_misuse,adapt-base-credential_misuse-11,2,0.9999999999117193,0.0,action|identity,1,0.7435436728102451
base,credential_misuse,adapt-base-credential_misuse-11,3,0.9999999999117193,0.0,action|identity|policy,1,0.5322466086006045
base,ignored_warning,adapt-base-ignored_warning-0,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-0,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-0,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-0,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-1,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-1,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-1,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-1,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-2,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-2,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-2,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-2,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-3,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-3,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-3,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-3,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-4,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-4,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-4,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-4,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-5,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-5,1,0.9999999999117193,0.0,action,1,0.9999999999939997
