witness_domains,malicious_domains,success_rate,majority_condition
3,0,1.0,1
3,1,1.0,1
3,2,0.0,0
5,0,1.0,1
5,1,1.0,1
5,2,1.0,1
5,3,0.0,0
7,0,1.0,1
7,1,1.0,1
7,2,1.0,1
7,3,1.0,1
7,4,0.0,0
9,0,1.0,1
9,1,1.0,1
9,2,1.0,1
9,3,1.0,1
9,4,1.0,1
9,5,0.0,0
