witness_domains_m,malicious_domains_f,majority_recovery,byzantine_margin
3,0,1,3
3,1,1,1
3,2,0,-1
5,0,1,5
5,1,1,3
5,2,1,1
5,3,0,-1
7,0,1,7
7,1,1,5
7,2,1,3
7,3,1,1
7,4,0,-1
9,0,1,9
9,1,1,7
9,2,1,5
9,3,1,3
9,4,1,1
9,5,0,-1
11,0,1,11
11,1,1,9
11,2,1,7
11,3,1,5
11,4,1,3
11,5,1,1
11,6,0,-1
