threshold,coverage,selective_risk,accepted,aurc
1.0,0.0,0.0,0,0.0010002098547425454
0.85,0.4325925925925926,0.0,1168,0.0010002098547425454
0.975,0.4325925925925926,0.0,1168,0.0010002098547425454
0.9,0.4325925925925926,0.0,1168,0.0010002098547425454
0.875,0.4325925925925926,0.0,1168,0.0010002098547425454
0.925,0.4325925925925926,0.0,1168,0.0010002098547425454
0.95,0.4325925925925926,0.0,1168,0.0010002098547425454
0.825,0.4562962962962963,0.0,1232,0.0010002098547425454
0.775,0.65,0.0011396011396011395,1755,0.0010002098547425454
0.8,0.65,0.0011396011396011395,1755,0.0010002098547425454
0.725,0.7096296296296296,0.0010438413361169101,1916,0.0010002098547425454
0.7,0.7096296296296296,0.0010438413361169101,1916,0.0010002098547425454
0.75,0.7096296296296296,0.0010438413361169101,1916,0.0010002098547425454
0.675,0.7096296296296296,0.0010438413361169101,1916,0.0010002098547425454
0.65,0.7292592592592593,0.001015744032503809,1969,0.0010002098547425454
0.625,0.7292592592592593,0.001015744032503809,1969,0.0010002098547425454
0.525,0.8725925925925926,0.003395585738539898,2356,0.0010002098547425454
0.6,0.8725925925925926,0.003395585738539898,2356,0.0010002098547425454
0.575,0.8725925925925926,0.003395585738539898,2356,0.0010002098547425454
0.55,0.8725925925925926,0.003395585738539898,2356,0.0010002098547425454
0.5,0.9148148148148149,0.0032388663967611335,2470,0.0010002098547425454
0.45,0.9148148148148149,0.0032388663967611335,2470,0.0010002098547425454
0.475,0.9148148148148149,0.0032388663967611335,2470,0.0010002098547425454
0.425,0.9148148148148149,0.0032388663967611335,2470,0.0010002098547425454
0.35,0.9740740740740741,0.0045627376425855515,2630,0.0010002098547425454
0.4,0.9740740740740741,0.0045627376425855515,2630,0.0010002098547425454
0.375,0.9740740740740741,0.0045627376425855515,2630,0.0010002098547425454
0.275,0.9792592592592593,0.0045385779122541605,2644,0.0010002098547425454
0.3,0.9792592592592593,0.0045385779122541605,2644,0.0010002098547425454
0.325,0.9792592592592593,0.0045385779122541605,2644,0.0010002098547425454
0.25,0.9862962962962963,0.004506196019526849,2663,0.0010002098547425454
0.225,0.9862962962962963,0.004506196019526849,2663,0.0010002098547425454
0.175,0.9977777777777778,0.004454342984409799,2694,0.0010002098547425454
0.2,0.9977777777777778,0.004454342984409799,2694,0.0010002098547425454
0.1,0.9988888888888889,0.004449388209121246,2697,0.0010002098547425454
0.025,0.9988888888888889,0.004449388209121246,2697,0.0010002098547425454
0.125,0.9988888888888889,0.004449388209121246,2697,0.0010002098547425454
0.075,0.9988888888888889,0.004449388209121246,2697,0.0010002098547425454
0.15,0.9988888888888889,0.004449388209121246,2697,0.0010002098547425454
0.05,0.9988888888888889,0.004449388209121246,2697,0.0010002098547425454
0.0,1.0,0.005185185185185185,2700,0.0010002098547425454
